number,value,datetime_start,datetime_complete,duration,params_atr_period,params_buy_signal_mode,params_fallback_signal,params_max_position_pct,params_max_positions,params_max_total_pct,params_overheat_ret5_threshold,params_overheat_rsi_threshold,params_signal_BOLL_BREAK,params_signal_HIGH_BREAK,params_signal_KDJ_GOLD,params_signal_MACD_GOLD,params_signal_MA_GOLD,params_signal_VOL_GOLD,params_stop_loss_mult,params_take_profit_mult,params_trailing_pct,params_trailing_start,params_weight_OVERHEAT,params_weight_PB,params_weight_PE_TTM,params_weight_RET_20,params_weight_RSI_1,params_weight_VOLUME_RATIO,state
36,0.31595194584320085,2026-04-27 01:21:45.012087,2026-04-27 01:32:59.492849,0 days 00:11:14.480762,20,AND,HIGH_BREAK,0.12223534078276654,6,0.8813036032969652,0.21220921318820993,64.67012799410831,off,on,on,off,off,off,2.334328054863971,4.730115902181762,0.06918331743458356,0.08609924018977223,0.042463053264040956,0.05869129172640301,0.28454269354990724,0.11056344355319246,0.2943227218023923,0.21945617375602183,COMPLETE
37,0.0,2026-04-27 01:21:55.908349,2026-04-27 01:33:12.623682,0 days 00:11:16.715333,20,AND,MA_GOLD,0.11898593862147533,6,0.8822018466782962,0.20798700440867351,71.44919028106084,off,off,on,off,off,off,2.2085498291576697,4.79191296265178,0.0646687072012204,0.09649989869809651,0.1193069923981368,0.17286861025622902,0.20678074214292352,0.10464727277717609,0.19259445873502407,0.21432673750388367,COMPLETE
38,0.0,2026-04-27 01:22:05.115444,2026-04-27 01:33:26.332580,0 days 00:11:21.217136,20,AND,MA_GOLD,0.1210855354521575,5,0.7707395309408611,0.20835330748289227,71.3886474012095,off,off,on,off,off,off,2.2480013275882262,4.742651014946576,0.06881510883173401,0.0992983256233448,0.15879949856742617,0.1717728673263335,0.2017471081448172,0.11013743230077715,0.19138861927331377,0.2154244122768933,COMPLETE
39,0.0,2026-04-27 01:23:13.048557,2026-04-27 01:34:33.932275,0 days 00:11:20.883718,20,AND,MA_GOLD,0.11947117146021152,5,0.7892394704154787,0.25476170888387667,76.0874846886506,off,off,on,off,off,off,1.5216743494997718,4.690336025559027,0.06448713396865763,0.08626029140368378,0.16104561103106751,0.025992272209188476,0.21822661129693915,0.1056211535006725,0.20955639761964223,0.2151031661376943,COMPLETE
40,0.0,2026-04-27 01:32:59.498340,2026-04-27 01:44:16.128787,0 days 00:11:16.630447,21,AND,MA_GOLD,0.16183772618707426,5,0.7801074287635372,0.25860032715193576,77.23781718871643,off,off,on,off,off,off,1.5240404110674632,4.539451485594814,0.0810935349861425,0.09666567115481196,0.1553237960787363,0.010793376887155023,0.20344280109897828,0.09469180083717832,0.19393120620022195,0.07469436307890409,COMPLETE
41,0.0,2026-04-27 01:33:12.850468,2026-04-27 01:44:30.357933,0 days 00:11:17.507465,21,AND,MA_GOLD,0.162034297540109,5,0.7882927538769651,0.24531635637522398,80.55108723476624,off,off,on,off,off,off,1.4671896517083116,4.594961125620479,0.08140125087552214,0.09973725945781559,0.20616186251309124,0.024319325680299913,0.14080571961304145,0.03822620223567793,0.20029924886458556,0.2779945429351221,COMPLETE
42,-0.014613063542225233,2026-04-27 01:33:26.335761,2026-04-27 01:44:51.053964,0 days 00:11:24.718203,18,AND,VOL_GOLD,0.1576053259632423,5,0.7970446703588511,0.25577180630272667,75.51486553015198,off,off,on,off,off,on,1.4105827844006034,4.994962343000207,0.08206419755479538,0.08633015806324128,0.2044108073438635,0.019001979807715036,0.12688647792276664,0.08401075723971087,0.2707872880468666,0.275409772968272,COMPLETE
43,-1.6078012228912302,2026-04-27 01:34:33.933810,2026-04-27 01:46:00.914333,0 days 00:11:26.980523,18,AND,VOL_GOLD,0.15252969471914923,5,0.7013320465851869,0.24607328427266528,65.99537747859075,off,on,on,off,off,on,2.4416745959386406,4.502233316869739,0.0833826879781604,0.0354139354032841,0.20813533605514856,0.08095216328214441,0.13118717755651968,0.040993938417716674,0.2686551184025685,0.27980580069800925,COMPLETE
44,0.9065260916013475,2026-04-27 01:44:16.141301,2026-04-27 01:55:19.217306,0 days 00:11:03.076005,18,AND,HIGH_BREAK,0.20641177368117425,8,0.6753439044226794,0.17096698772093194,62.0916114469829,off,on,on,off,off,off,2.4429896427625812,4.480612650887002,0.09102959184278313,0.0440596798039267,0.20658126743723798,0.0820742904789101,0.14008454416929525,0.1693576173951621,0.26661466385969645,0.27543511097470275,COMPLETE
45,1.8283626275124785,2026-04-27 01:44:30.361308,2026-04-27 01:55:35.888278,0 days 00:11:05.526970,17,AND,VOL_GOLD,0.2703296633656075,8,0.917821727965772,0.14533522584794425,61.85742222212608,off,on,on,off,off,off,2.4337041996005433,4.965115891249176,0.0903000047517831,0.03970707406965823,0.20879596588779312,0.08230246080560398,0.23060524102943367,0.1606709080895365,0.26726314720768074,0.26748192961341843,COMPLETE
46,0.518628968270364,2026-04-27 01:44:51.057890,2026-04-27 01:56:02.153667,0 days 00:11:11.095777,17,AND,VOL_GOLD,0.20955499581432493,8,0.9288528829394614,0.13997258029824108,61.792679158863834,off,on,on,off,off,off,2.4110768442557626,4.436502285397234,0.09121534811348167,0.0415425303417479,0.10896012020640318,0.08147015782402485,0.2303314273714698,0.172778870069729,0.2675688047530134,0.16855939099169778,COMPLETE
47,0.08457915760279512,2026-04-27 01:46:00.926916,2026-04-27 01:57:19.067601,0 days 00:11:18.140685,17,AND,HIGH_BREAK,0.20561709945120532,8,0.9185103460750093,0.19972613678414525,62.410296800947535,off,on,on,off,off,off,2.698227695650448,4.162532813685839,0.0942795490826053,0.045459212309020836,0.11447070685939512,0.10991625160485081,0.17522899493808183,0.1661402734317584,0.3196574090686291,0.17789202237949803,COMPLETE
